gene_idx,pcc,spearman,mae,rmse
245,0.14182829980383324,0.13888306502958,0.3424945,0.96516216
246,0.2918868981984438,0.2502288112494117,0.31320328,0.96353275
247,0.40254668708750463,0.41355611491473415,0.52013415,0.94020253
248,0.28213971626245443,0.284233425360994,0.55613214,0.9566121
249,0.0266270694107346,0.04296169064452009,0.35183558,1.0194261
250,0.05186389761726464,0.022593255912085115,0.06876831,0.8921852
251,0.0993008948529266,0.08383348361146763,0.18920341,1.0049884
252,0.17504956707396213,0.151425442096275,0.41768503,0.9875535
253,0.0891221726306687,0.09200868391196274,0.30163515,1.0266562
254,0.23156959989429268,0.2146558784513999,0.76039606,0.97632134
255,0.46639671989504006,0.3699933387051214,0.38394335,0.9133082
256,0.008477070794193162,0.01255137467212379,0.05773363,1.0705853
257,0.16575735907010478,0.18883703649018826,0.63574654,0.9751793
258,0.23662869280443874,0.24369554477052585,0.47815967,0.9741255
259,0.07044423588044706,0.0662785286062625,0.34534943,1.0173657
260,0.37087876239371326,0.33247879671143443,0.57677984,0.9666401
261,0.4349042505101673,0.38402038588294113,0.5705045,0.90780354
262,0.008686345789607985,-6.848928907090645e-05,0.06414322,1.0821879
263,0.4055211048563778,0.3522880717216998,0.6375397,0.9125005
264,-0.003849153020563111,0.006304280140305478,0.21974666,1.0729716
265,0.3198441333476148,0.29262741534291753,0.51785916,0.9658692
266,0.3289937980058311,0.16905826347241928,0.17419711,0.9666448
267,0.30692201760888077,0.26696080386633236,0.341174,0.9399499
268,0.23308319857972135,0.2095241117361532,0.3212586,0.9463465
269,0.22412007812476886,0.19197738210162163,0.31628546,0.96307313
270,0.008340818656878479,0.015925966016566158,0.08671266,1.4876596
271,0.6591488850024974,0.33411738702392674,0.25112972,0.78896034
272,0.07342020074363317,0.08534398676682334,0.52122617,1.0030961
273,0.24806068922853208,0.18423346694924944,0.32642502,0.996794
274,0.23265058865371066,0.17971543076938457,0.25965795,0.9609586
275,0.2740385650368483,0.09590569820090161,0.14518896,1.037209
276,0.07908531105219943,0.06454661995878581,0.1413302,1.036779
277,0.2522984658136719,0.13211630752239273,0.21546914,0.91604376
278,0.3352348182654516,0.08631440670809007,0.09386791,0.9754636
279,0.2664852940037811,0.2868597564825194,0.44821677,0.9660335
280,0.19152164071747635,0.16839176898738373,0.54767686,0.9812713
281,0.09738498049181689,0.10602017532717457,0.27965614,0.96548486
282,0.06972559005766837,0.07618026224480436,0.24718444,1.0901
283,0.1103904777384642,0.037159295625732044,0.14161867,1.1870967
284,0.20247767376398668,0.2133826285064515,0.6565098,0.9920645
285,0.2726988807797224,0.19158707364200986,0.3168088,0.9824853
286,0.1859530285509412,0.16252642062772496,0.24334642,0.9984578
287,0.11339598282295686,0.13598239803895462,0.41075873,1.0273187
288,0.45405407501416645,0.4285045126137844,0.63876295,0.9280366
289,0.27009303767249787,0.26495674931459423,0.5131525,0.9785423
290,0.5254074346972515,0.5072696901325184,0.61206377,0.8739744
291,0.1358645426281286,0.10028872211134589,0.2744143,1.0470462
292,0.38785192072654767,0.39543567082224496,0.6466196,0.94919384
293,0.24898092995828078,0.18879525452645382,0.3059481,0.9802643
294,0.3093830619867069,0.17224382234192215,0.23915976,0.99721813
295,0.2092567558110295,0.19227134033817528,0.42493907,0.99621487
296,0.16789788174368245,0.11753428503162726,0.27258855,1.0130608
297,0.005902453368920008,0.017543073844022247,0.05107848,0.7536956
298,0.2369800842611452,0.1084818858158153,0.3426646,0.99971795
299,0.08767789104649201,0.10493197389176612,0.42031115,0.9809078
300,0.26165453127048305,0.1573252283133051,0.25355053,1.0566481
301,0.24820545708890493,0.05813562425497775,0.16980256,0.90005535
302,0.04614498354869666,0.025669456666080843,0.07156988,0.86864954
303,0.014962785326601048,0.010004863855191486,0.066094995,0.93336016
304,0.16753607657004063,0.18904042172627336,0.43793002,0.97759974
305,0.011765297557601738,0.005112330836274935,0.11577043,1.0368323
306,0.15088169509729618,0.13841662021381831,0.28113535,0.95481217
307,0.0533693147861543,0.03406373293798812,0.21404012,0.95740765
308,0.37629476206898316,0.2072582699410597,0.26755628,0.95730853
309,0.8243981175089437,0.6757007646507168,0.5134519,0.72511005
